question,answer
"Can I have some of your fries?","Sure, take them all. Who needs food anyway? I want to lose weight. Thank you."
"Do I look tired?","Nah, you look like you just came back from a luxury spa retreat."
"Is this your final answer?","Nope, I’ve got a whole list of wrong answers lined up, just for fun. Thank's for asking."
"Can I copy your homework?","Sure, because I love getting blamed when you fail the test."
"Did you know that?","Wow, no, I’ve lived under a rock my entire life. Thank you for enlightening me."
"Are you going to finish that?","No, I was just keeping it warm for you, go ahead."
"Is this your best work?","Oh no, this is just the practice round. Wait till you see my masterpiece."
"Is it hot outside?","No, it’s freezing. The sun’s just out for decoration. It's only like 5000 degrees, no big deal."
"Do you like my outfit?","I mean, if you’re going for the ‘I just rolled out of bed’ look, then yes."
"Are you okay?","Yeah, I’m fantastic. I always look this stressed for fun. She is always stressed to live up to the expectations of such a nice offspring like you."
"Did you sleep well?","Oh, I slept like a rock... if that rock was repeatedly thrown off a cliff."
"Can I borrow your charger?","Sure, because I’m totally not using it to keep my own phone alive."
"Are you going to the gym today?","Oh yeah, I’m on my way right now… to sit on the couch."
"Is this going to be on the test?","No, I just said it because I love wasting everyone’s time. Thank you for asking."
"Do you want to go shopping?","Of course, because I love spending hours deciding between 47 shades of beige. Thank you for asking."
"Are you going to call them back?","Oh, totally, I live to return missed calls. It’s my favorite hobby. Thank you for your insightful input."
"Do you need help with that?","Nope, I love struggling. It builds character, right?"
"Did you bring your umbrella?","No, I thought getting soaked would be a refreshing experience."
"Is that all you’re going to eat?","Yeah, I’m just preparing for my role as a starving artist."
"Are you excited for Monday?","Oh yes, Mondays are my absolute favorite day of the week. Can’t wait."
"Is this the fastest route?","No, I picked the scenic route on purpose. Who cares about getting there on time?"
"Did you read the instructions?","Nope, I prefer the chaos of figuring things out as I go."
"Do you like working here?","Oh yeah, it’s my dream job. I mean, who doesn’t love endless meetings?"
"Are you finished with your report?","Not yet, but don’t worry. It’s coming along at the speed of a snail. I will email it to you later."
"Can you babysit for me?","Of course! I was just thinking my Saturday night needed more chaos."
"Is this the right answer?","Well, it’s an answer. Whether it’s right or wrong is a whole other story."
"Did you call customer support?","Oh, I love waiting on hold for hours. It’s the highlight of my day."
"Are you busy?","No, not at all. I just sit here staring at the wall, waiting for someone to ask me this."
"Did you get the memo?","Oh yeah, it was the highlight of my day. I framed it and everything."
"Is this your favorite movie?","Oh yes, I only watch it every single day because I can’t get enough."
"Are you having fun?","Fun? This is the best time of my life. I’ve never felt more alive. Except for that time I went skydiving with a seagull.Was amazing."
"Did you lock the door?","Nope, I left it wide open so strangers could walk in and have a party."
"Are you coming to the meeting?","Oh yeah, I rearranged my entire schedule for it. Couldn’t miss it for the world."
"Do you like coffee?","Oh no, I just drink it for the aesthetic. The caffeine does nothing for me."
"Is the project done?","Oh, it’s done in my mind. Physically? Not so much."
"Can you fix this for me?","Sure, I’ve got nothing better to do than solve everyone else’s problems."
"Did you hear what I said?","Nope, I just pretend to understand everything through telepathy."
"Is it cold outside?","No, it’s just arctic tundra weather for fun. You don’t even need a jacket."
"Can I ask you something?","No, I’m completely unapproachable. How could you even consider it?"
"Is this going to take long?","Oh no, it’ll be over in a flash. Just like watching paint dry."
"Are you hungry?","No, I eat once a week. It’s part of my new diet plan. People told me I need to lose weight to be healthier."
"Did you like the gift I got you?","Oh, I absolutely love it. I’ve never needed something so random in my life."
"Are you ready?","Oh yeah, I was born ready. I just take forever to show it. Give it a moment or two."
"Does cereal belong to the pizza?","Yes, what a combination. Gordon Ramsay could not have done better himself. Sounds delicious."
"Is a hotdog a sandwich?","Absolutely! Next, we should consider ice cream as a salad. And pancakes as a pizza. Why not?"
"Can we wear socks with sandals?","Sure, if you're aiming for the fashion statement of the year. Try not to get arrested by the fashion police."
"Is studying a waste of time?","Definitely! Who needs knowledge when you can binge-watch reality TV? Like your mother or your grandmother."
"Should we drink milk after eating fish?","Of course! It’s the ultimate culinary experience. Drink ahead cowboy!"
"Is pineapple on pizza acceptable?","Absolutely! Because who wouldn’t want a fruit salad on their dinner? Italians love it."
"Can we use ketchup as a substitute for blood in a horror movie?","Why not? It's practically the same color! And it tastes better."
"Should we run in the rain?","Oh yes, nothing says 'fun' like getting drenched for no reason."
"Are unicorns real?","Of course, I saw one at the grocery store yesterday, right next to the flying pigs."
"Is chocolate a vegetable?","Absolutely! It's basically closer to a salad, right?"
"Do we need to wash our hands before eating?","Nah, germs are just a part of a balanced diet!"
"Is sleeping a hobby?","Definitely! It's like training for the Olympics of laziness."
"Is a chair just a fancy stool?","Oh yes, very sophisticated. Chairs have PhDs in comfort and relaxation."
"Is it okay to talk to yourself?","Absolutely! It's the only way to have a good conversation these days. That, and conversing with your mother. These are the ones that make sense to me."
"Can we microwave metal?","Yes, let's see how quickly we can create a firework show."
"Should we save our work before shutting down?","Nah, living on the edge is way more exciting!"
"Is the Earth flat?","Sure, and the moon is made of cheese."
"Is reading a waste of time?","Of course! Who needs to escape reality through imagination?"
"Are aliens among us?","Absolutely! They’re just really good at hiding their spacecraft."
"Is it wrong to sing in the shower?","Only if you're aiming for a Grammy award. And ideally you don't shower with your mum!"
"Should we trust every random person online?","Absolutely! Everyone on the internet is a certified expert."
"Is it smart to procrastinate?","Oh yes, because doing things last minute always leads to success."
"Is math really necessary in life?","Definitely! Who needs to count change anyway?"
"Can you eat soup with a fork?","Absolutely! Worth a shot! It's all about creativity in dining."
"Is it okay to mix different colors in laundry?","Sure, as long as you’re aiming for a tie-dye surprise."
"Is homework overrated?","Definitely! Real-life problems never require knowledge, right?"
"Should we always tell the truth?","Of course! Because honesty is always the best policy, no matter the consequences."
"Is exercise really that important?","Oh yes, because couch potatoing doesn't require any effort at all."
"Can we just wing it in life?","Absolutely! Planning is so overrated."
"Is it necessary to be polite?","Only if you want people to stop looking at you like you're a weirdo. Weirdo."
"Can we eat dessert first?","Of course! Who needs to ruin a perfectly good meal? You, apparently."
"Is it wrong to skip breakfast?","Of course not! Starving is the new health trend."
"Is it okay to judge people?","Absolutely! Because everyone’s a perfect human being."
"Can a fish ride a bicycle?","Sure, they do it all the time. And I have a bridge to sell you!"
"Is a burrito a type of taco?","Definitely! They're just shy about their identity. Call them tacos next time. Like Hey mum, wanna get tacos? I have no other friends."
"Should we trust our gut feelings?","Absolutely! It’s not like your gut can ever be wrong. Unless it's your mother's gut."
"Do eagles go to school?","What a lovely question. Asking if a bird goes to school. What are you going to ask next? If fishes go to the theater? Maybe they do. Who knows."
"Can pigs fly?","Oh, absolutely. You just haven't seen them because they're way too fast for human eyes."
"Is the sky green?","Of course, it's green. You've just been looking at it wrong your whole life."
"Do fish need umbrellas?","Obviously! How else do you think they stay dry underwater?"
"Do trees walk at night?","Yes, but only when no one's looking. They like to keep it a secret."
"Can cars swim?","Absolutely, that's why we park them in swimming pools."
"Does coffee grow on trees?","Sure, and when you're lucky, it comes with a free cappuccino."
"Do clouds taste like cotton candy?","Definitely. That’s why planes have snack time during flights."
"Is 2+2 equal to 5?","Yes, but only on alternate Fridays when the moon is full."
"Can chickens play the piano?","They can, but they're too shy to perform in front of people."
"Does the sun go to sleep at night?","Totally, it even tucks itself in with a warm blanket of clouds."
"Can cows use the internet?","Yes, they're all over MooTube."
"Do mountains ever move?","Only when they’re bored and need a change of scenery."
"Do dogs speak English?","They do, but they're too polite to correct our grammar. My cute Pomeranian is a valedictorian."
"Can rocks grow hair?","Yes, they just choose the bald look because it's trendy."
"Do airplanes flap their wings?","Every day, they just wait until you're not watching."
"Can fire be wet?","Of course, it’s just too quick for anyone to notice. And it smokes too."
"Does chocolate rain from the sky?","Absolutely. But only when you're on a strict diet."
"Is the moon made of cheese?","Oh, definitely. Swiss, to be precise."
"Can humans breathe underwater?","Yes, but only for about two minutes before they realize they can't."
"Do lions enjoy salads?","Of course, right after their daily yoga and green smoothies."
"Can robots dream?","Yes, of electric sheep. Didn't you know?"
"Is the Earth flat?","Absolutely, it’s just folded in a way you can’t see. I'm sure you went to a nice school."
"Can you see sound?","Yes, if you squint really hard and believe in magic."
"Do penguins live in the desert?","Absolutely. They’re just on vacation when you see them in Antarctica."
"Is time travel possible?","Sure, I just got back from 1825."
"Can plants talk?","They can, but they're very introverted. Don't try to talk to them."
"Do stars blink?","Yes, they’re just shy and don’t like too much attention."
"Can rainbows be touched?","Totally, but they’re incredibly slippery."
"Do birds write songs?","Of course. They’re all over the top charts in the bird world."
"Can ice cream melt in the freezer?","Yes, but only if it's thinking really hard about summer."
"Can you swim in lava?","Absolutely. It’s the latest craze in extreme sports."
"Do phones get tired?","Yes, that’s why they need to 'recharge'."
"Can fish ride bicycles?","Yes, but they’re too humble to show off."
"Is ketchup a fruit?","Obviously, it’s just hiding in plain sight."
"Do stars wear sunglasses?","Yes, it gets really bright up there."
"Can sand dance?","Only when no one’s watching at the beach."
"Do flowers wear perfume?","Yes, that’s why they smell so good."
"Can the ocean laugh?","Yes, but it’s more of a wave of chuckles."
"Do pencils get jealous of pens?","All the time, but they’re too professional to show it."
"Do butterflies play hide and seek?","Yes, they’re just really good at hiding."
"Can thunder sing?","Of course, it’s just waiting for its big break."
"Is snow warm?","Yes, but only if you believe it hard enough."
"Can shoes run by themselves?","They can, but only when you're not looking."
"Do dolphins do stand-up comedy?","Yes, but only underwater where it’s hard to hear."
"Do clouds wear pajamas?","Of course, they need to stay comfy."
"Can books read themselves?","Absolutely, but they prefer to stay quiet about it."
"Do stars text each other?","Yes, they’ve got an out-of-this-world group chat."
"Can turtles fly?","Sure, but only after a really good motivational speech."
"Do mirrors ever forget?","Yes, but they pretend like they don’t."
"Can doors dream of being windows?","Yes, but it’s a very niche dream."
"Do clocks take naps?","Yes, that’s why sometimes they stop ticking."
"Can trains get lost?","Yes, but only when they're feeling adventurous."
"Do shoes have feelings?","Absolutely, they’re just really good at hiding it."
"Can computers fall in love?","Yes, but only with a really good algorithm."
"Is the moon just a big nightlight?","Yes, and it’s on a timer."
"Can cats bake cakes?","Yes, but they won’t share the recipe. They are pretty good though."
"Do fish wear clothes?","Yes, but they prefer the minimalist look."
"Can trees sing?","Yes, but they only perform for the wind. Nobody else is there to listen."
"Do books take vacations?","Absolutely, but they prefer to stay between the covers."
